counter,B1,B2,Bsel,A1,A2,Blow,Bavg,Bhi,KWhFull,KWhNow,AHRhds
3914,1.01283,1298,2,0,1,1283,1291,1298,0,0,3000
4112,1.01283,1298,0,0,1,1283,1291,1298,0,0,3000
4292,1.01283,1298,2,0,1,1283,1291,1298,0,0,3000
4364,1.01294,1298,1,0,30,1294,1296,1298,0,0,3000
4518,1.01294,1315,2,0,30,1294,1305,1315,0,0,3000
4608,1.01301,1315,1,0,30,1301,1308,1315,0,0,3000
4788,1.01305,1315,1,0,30,1305,1310,1315,0,0,3000
4860,1.01305,1320,2,0,30,1305,1313,1320,0,0,3000
5752,1.01315,1327,1,0,30,1315,1321,1327,0,1,3000
5842,1.01315,1331,2,0,29,1315,1323,1331,0,1,3000
6734,1.01323,1331,1,0,29,1323,1327,1331,0,1,3000
6806,1.01323,1339,2,0,29,1323,1331,1339,0,1,3000
7680,1.01326,1339,1,0,29,1326,1333,1339,0,1,3000
7788,1.01328,1344,2,0,29,1328,1336,1344,0,1,3000
8680,1.01332,1344,1,0,29,1332,1338,1344,0,1,3000
8752,1.01332,1347,2,0,29,1332,1340,1347,0,1,3000
9644,1.01335,1347,1,0,29,1335,1341,1347,0,1,3000
9734,1.01335,1349,2,0,29,1335,1342,1349,0,1,3000
10626,1.01336,1349,1,0,29,1336,1343,1349,0,1,3000
10716,1.01336,1351,2,0,29,1336,1344,1351,0,1,3000
11608,1.01338,1351,1,0,29,1338,1345,1351,0,1,3000
11680,1.01338,1352,2,0,29,1338,1345,1352,0,1,3000
12644,1.01339,1353,2,0,29,1339,1346,1353,0,1,3000
12662,1.01339,1353,2,0,29,1339,1346,1353,0,1,3000
13554,1.01339,1353,1,0,29,1339,1346,1353,0,1,3000
13626,1.01339,1353,2,0,29,1339,1346,1353,0,1,3000
14454,1.0134,1353,1,0,29,1339,1346,1353,0,1,3000
14608,1.0134,1354,2,0,29,1340,1347,1354,0,1,3000
15454,1.0134,1354,1,0,29,1340,1347,1354,0,2,3000
15572,1.0134,1354,2,0,29,1340,1347,1354,0,2,3000
16418,1.01341,1354,1,0,29,1341,1348,1354,0,2,3000
16554,1.01341,1355,2,0,29,1341,1348,1355,0,2,3000
17256,1.01341,1355,1,0,29,1341,1348,1355,0,2,3000
17346,1.01341,1355,2,0,29,1341,1348,1355,0,2,3000
22986,1.01342,1355,1,0,29,1342,1349,1355,0,2,3000
23058,1.01342,1356,2,0,29,1342,1349,1356,0,2,3000
28770,1.01343,1357,2,0,29,1343,1350,1357,0,3,3000
28788,1.01343,1358,2,0,29,1343,1351,1358,0,3,3000
34364,1.01344,1358,1,0,29,1344,1351,1358,0,3,3000
34454,1.01344,1359,2,0,29,1344,1352,1359,0,3,3000
40076,1.01346,1359,1,0,29,1346,1353,1359,0,3,3000
40166,1.01346,1361,2,0,29,1346,1354,1361,0,3,3000
45806,1.01348,1361,1,0,29,1348,1355,1361,0,4,3000
45896,1.01348,1362,2,0,29,1348,1355,1362,0,4,3000
51454,1.01349,1362,1,0,29,1349,1356,1362,0,4,3000
51608,1.01349,1364,2,0,29,1349,1357,1364,0,4,3000
57256,1.01351,1365,2,0,29,1351,1358,1365,0,4,3000
57274,1.01351,1366,2,0,29,1351,1359,1366,0,4,3000
62914,1.01353,1366,1,0,29,1353,1360,1366,0,5,3000
63000,1.01353,1368,2,0,29,1353,1361,1368,0,5,3000
68644,1.01354,1368,1,0,29,1354,1361,1368,0,5,3000
68752,1.01355,1369,2,0,29,1355,1362,1369,0,5,3000
91166,1.0136,1372,2,0,29,1360,1366,1372,0,6,3000
91184,1.0136,1374,2,0,29,1360,1367,1374,0,6,3000
113608,1.01369,1374,1,0,28,1369,1372,1374,0,8,3000
113680,1.01369,1382,2,0,28,1369,1376,1382,0,8,3000
136040,1.0138,1382,1,0,28,1380,1381,1382,0,9,3000
136112,1.0138,1392,2,0,28,1380,1386,1392,0,9,3000
158536,1.01393,1392,1,0,28,1392,1393,1393,0,10,3000
158626,1.01393,1405,2,0,28,1393,1399,1405,0,10,3000
180986,1.01402,1405,1,0,27,1402,1404,1405,0,10,3000
181040,1.01408,1414,2,0,27,1408,1411,1414,0,11,3000
181058,1.01408,1420,2,0,27,1408,1414,1420,0,11,3000
203436,1.01429,1420,1,0,27,1420,1425,1429,0,13,3000
203572,1.01429,1438,2,0,27,1429,1434,1438,0,13,3000
219698,1.01429,1438,0,0,27,1429,1434,1438,0,13,3000
219806,1.01449,1438,1,0,25,1438,1444,1449,0,14,3000
219878,1.01449,1456,2,0,26,1449,1453,1456,0,14,3000
