Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response,Consumer disputed
1336975,Debt collection,Payday loan,Communication tactics,Called outside of 8am-9pm,MO,63379,Web,04/20/2015,04/20/2015,"Enova International, Inc.",Closed with explanation,Yes,
1336576,Debt collection,Medical,False statements or representation,Attempted to collect wrong amount,NV,89117,Web,04/20/2015,04/20/2015,Transworld Systems Inc.,In progress,Yes,
1336671,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,LA,70748,Web,04/20/2015,04/20/2015,"Mercantile Adjustment Bureau, LLC",Closed with explanation,Yes,
1336400,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,MD,21136,Web,04/19/2015,04/19/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1336399,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,MD,21136,Web,04/19/2015,04/19/2015,"Recovery One, LLC",Closed with explanation,Yes,
1336391,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,FL,32239,Web,04/19/2015,04/19/2015,Stellar Recovery Inc.,Closed with explanation,Yes,
1336360,Debt collection,Auto,Cont'd attempts collect debt not owed,Debt was paid,CA,91942,Web,04/19/2015,04/19/2015,Transworld Systems Inc.,In progress,Yes,
1336352,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77612,Web,04/19/2015,04/19/2015,"Enhanced Recovery Company, LLC",Closed with non-monetary relief,Yes,
1336349,Debt collection,,Cont'd attempts collect debt not owed,Debt is not mine,TX,77612,Web,04/19/2015,04/19/2015,Stellar Recovery Inc.,Closed with explanation,Yes,
1336497,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,MD,21201,Web,04/19/2015,04/19/2015,"Eastern Account Systems of Connecticut, Inc.",Closed with explanation,Yes,
1336495,Debt collection,,Cont'd attempts collect debt not owed,Debt resulted from identity theft,MD,21201,Web,04/19/2015,04/19/2015,"Mariner Finance, LLC",Closed with explanation,Yes,
1336402,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt resulted from identity theft,MD,21136,Web,04/19/2015,04/19/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1336308,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,IL,60409,Web,04/19/2015,04/19/2015,"Rent Recover, LLC",Closed with explanation,Yes,Yes
1336622,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,VA,22554,Web,04/19/2015,04/20/2015,Navy FCU,In progress,Yes,
1336319,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Called outside of 8am-9pm,VA,24605,Web,04/19/2015,04/19/2015,Springleaf Finance Corporation,In progress,Yes,
1336557,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,MT,59601,Web,04/19/2015,04/19/2015,Centron Services,Closed with explanation,Yes,
1336659,Debt collection,Medical,Disclosure verification of debt,Not disclosed as an attempt to collect,CA,93311,Web,04/19/2015,04/20/2015,"Designed Receivable Solultions, Inc.",Closed with explanation,Yes,Yes
1336638,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,IL,60419,Web,04/19/2015,04/20/2015,"Commonwealth Financial Systems, Inc.",Closed with explanation,Yes,
1336658,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,DC,20003,Web,04/19/2015,04/20/2015,Stellar Recovery Inc.,Closed with explanation,Yes,
1336651,Debt collection,"Other (phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,NC,28214,Web,04/19/2015,04/20/2015,Transworld Systems Inc.,In progress,Yes,
1336215,Consumer loan,Vehicle loan,Shopping for a loan or lease,,GA,31816,Web,04/18/2015,04/18/2015,DriveTime,Closed with explanation,Yes,
1336201,Money transfers,Domestic (US) money transfer,Fraud or scam,,OH,43130,Web,04/18/2015,04/18/2015,MoneyGram,Closed with explanation,Yes,Yes
