Category,Type,Comment,Link,SLIDcES Link
Tests,Timeline,,/GDCA_Html/TestTimeline.html,SLIDcES:/GDCA_Slides/Tests/TimelineTest.json
Tests,Line,,/GDCA_Html/TestLine.html,SLIDcES:/GDCA_Slides/Tests/LineTest.json
Tests,Hist,,/GDCA_Html/TestHist.html,SLIDcES:/GDCA_Slides/Tests/HistTest.json
Tests,Pareto,,/GDCA_Html/TestPareto.html,SLIDcES:/GDCA_Slides/Tests/ParetoTest.json
Tests,ScatterHist,,/GDCA_Html/TestScatterHist.html,SLIDcES:/GDCA_Slides/Tests/ScatterHistTest.json
Tests,Bar,,/GDCA_Html/TestBar.html,SLIDcES:/GDCA_Slides/Tests/BarTest.json
Tests,AllTests,,/GDCA_Html/TestAll.html,SLIDcES:/GDCA_Slides/Tests/AllTests.json
Tests,Scatter,,/GDCA_Html/TestScatter.html,SLIDcES:/GDCA_Slides/Tests/ScatterTest.json
Tests,Stats,,/GDCA_Html/TestStats.html,SLIDcES:/GDCA_Slides/Tests/StatsTest.json
Tests,BoxPlot,,/GDCA_Html/TestBox.html,SLIDcES:/GDCA_Slides/Tests/BoxTest.json
Tests,Choropleth,,/GDCA_Html/TestChoropleth.html,SLIDcES:/GDCA_Slides/Tests/ChoroplethTest.json
Tests,Bubble,,/GDCA_Html/TestBubble.html,SLIDcES:/GDCA_Slides/Tests/BubbleTest.json
Tests,Join,,/GDCA_Html/TestSplit.html,SLIDcES:/GDCA_Slides/Tests/SplitTest.json
Tests,"Single chart, no Nav",Bootstrap,/GDCA_Html/SimpleChartLayoutB.html,
Tests,"Single chart, no Nav",FreeFlow,/GDCA_Html/SimpleChart.html,SLIDcES:/GDCA_Slides/Tests/SimpleChart.json
Samples,Auto Leases,,/GDCA_Html/Leases2014Jul.html,SLIDcES:/GDCA_Slides/Leases201407.json
Samples,Auto Leases,,/GDCA_Html/Leases2014Aug.html,SLIDcES:/GDCA_Slides/Leases201408.json
Samples,Auto Leases,,/GDCA_Html/AllLeases.html,SLIDcES:/GDCA_Slides/AllLeases.json
Samples,Autos,Volts,/GDCA_Html/Volts.html,SLIDcES:/GDCA_Slides/Volts.json
Samples,Almond+ Sensors,"Live, requires an Almond+",/GDCA_Html/AlmondPlus.html,SLIDcES:/GDCA_Slides/AlmondPlus.json
Samples,Almond+ Sensors,"Static, from file",/GDCA_Html/AlmondPlusSample.html,SLIDcES:/GDCA_Slides/AlmondPlusSample.json
Samples,US Venture Capital Landscape 2011,,/GDCA_Html/USVentureCapital.html,SLIDcES:/GDCA_Slides/USVentureCapitalLandscape2011.json
Samples,Wine and Cheese,,/GDCA_Html/WineAndCheese.html,SLIDcES:/GDCA_Slides/WineAndCheese.json
Editor,Prototype,Horizontal,Edit_origFreeFlow_rightPane.html,N/A
Editor,Prototype,,Edit_origFreeFlow.html,N/A
Editor,Prototype,Bootstrap,Edit_wLayoutB.html,N/A
Run,Prototype,,Run_origFreeFlow.html,N/A
Run,Prototype,Bootstrap,Run_wLayoutB.html,N/A
Project,Notes,,/GDCA_Html/VisAnalTable.html,SLIDcES:/GDCA_Slides/VisAnalTable.json
AllInclusive,All,,/GDCA_Html/AllEverything.html,SLIDcES:/GDCA_Slides/AllEverything.json
Samples,"Auto, Electric",,/GDCA_Html/PIEV.html,SLIDcES:/GDCA_Slides/PIEV.json
