Date,Party,Contact,Location,From,"Lease, Yrs","freshness, mo",rank,model,Color,Price,miles,seats,"tires, age","score, autocheck",VIN Model,Vin Seq,VIN link,autocheck link,Details link,Overview link,Note
12/5/2014,Dealer,JonW @ VW,"white bear lake, MN",PA,2,3,1,Volt,Black,17.5,27914,heated,F12 R08,91,1G1RB6E44,CU124892,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E44CU124892,http://www.vwinvergrove.com/autocheck.aspx?vin=1G1RB6E44CU124892&sid=5021566,http://www.vwinvergrove.com/used-St.+Paul-2012-Chevrolet-Volt-Base-1G1RB6E44CU124892,http://www.vwinvergrove.com/searchused.aspx?make=Chevrolet&model=Volt,
12/5/2014,Dealer,JonW @ VW,"inver grove heights, MN",NY,0,2,2,Volt,Black,18,37032,heated,F12 R12,90,1G1RB6E40,CU117714,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E40CU117714,http://www.vwinvergrove.com/autocheck.aspx?vin=1G1RB6E40CU117714&sid=5021566,http://www.vwinvergrove.com/used-St.+Paul-2012-Chevrolet-Volt-Base-1G1RB6E40CU117714,http://www.vwinvergrove.com/searchused.aspx?make=Chevrolet&model=Volt,Theft system
12/5/2014,Dealer,JonW @ VW,"moundsview, MN",WI,3,2,3,Volt,Red,17.5,36338,heated,RF12 O8,90,1G1RB6E46,CU107513,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E46CU107513,http://www.vwinvergrove.com/autocheck.aspx?vin=1G1RB6E46CU107513&sid=5021566,http://www.vwinvergrove.com/used-St.+Paul-2012-Chevrolet-Volt-Base-1G1RB6E46CU107513,http://www.vwinvergrove.com/searchused.aspx?make=Chevrolet&model=Volt,
12/5/2014,Dealer,Matt @ Chev,Annandale,OH,2,2,1,Volt,Black,18.8,24105,,,91,1G1RB6E40,CU122086,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E40CU122086,,,,
12/5/2014,Dealer,Matt @ Chev,Annandale,NY,2,2,1,Volt,Black,18.8,16262,cloth,,90,1G1RE6E47,DU102605,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RE6E47DU102605,,http://www.countrychev.net/VehicleDetails/used-2013-Chevrolet-Volt-5dr_HB-Annandale-MN/2359410123,,
12/5/2014,Dealer,Matt @ Chev,Annandale,,2,6,3,Volt,Red,18.8,20633,,,91,1G1RB6E4X,CU102797,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E4XCU102797,,,,
12/7/2014,Dealer,JonW @ VW,"inver grove heights, MN",NY,0,2,2,Volt,Black,17.5,37032,heated,F12 R12,90,1G1RB6E40,CU117714,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E40CU117714,http://www.vwinvergrove.com/autocheck.aspx?vin=1G1RB6E40CU117714&sid=5021566,http://www.vwinvergrove.com/used-St.+Paul-2012-Chevrolet-Volt-Base-1G1RB6E40CU117714,http://www.vwinvergrove.com/searchused.aspx?make=Chevrolet&model=Volt,Theft system
11/17/2014,Dealer,JonW @ VW,"white bear lake, MN",PA,2,3,1,Volt,Black,18.5,27914,heated,F12 R08,91,1G1RB6E44,CU124892,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E44CU124892,http://www.vwinvergrove.com/autocheck.aspx?vin=1G1RB6E44CU124892&sid=5021566,http://www.vwinvergrove.com/used-St.+Paul-2012-Chevrolet-Volt-Base-1G1RB6E44CU124892,http://www.vwinvergrove.com/searchused.aspx?make=Chevrolet&model=Volt,
11/1/2014,Dealer,JonW @ VW,"white bear lake, MN",PA,2,3,1,Volt,Black,19,27914,heated,F12 R08,91,1G1RB6E44,CU124892,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RB6E44CU124892,http://www.vwinvergrove.com/autocheck.aspx?vin=1G1RB6E44CU124892&sid=5021566,http://www.vwinvergrove.com/used-St.+Paul-2012-Chevrolet-Volt-Base-1G1RB6E44CU124892,http://www.vwinvergrove.com/searchused.aspx?make=Chevrolet&model=Volt,
12/7/2014,Dealer,,Owatonna,MI,2,2,1,Volt,Black,18,28426,cloth,,,1G1RA6E49,DU101824,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RA6E49DU101824,http://www.carfax.com/VehicleHistory/p/Report.cfx?partner=EMS_0&vin=1G1RA6E49DU101824,http://www.walser.com/used/Chevrolet/2013-Chevrolet-Volt-minneapolis-st-paul-d48ff8a90a0a006554ee153b040c0ec1.htm,,
12/4/2014,Dealer,,Owatonna,MI,2,2,,Volt,Black,18.5,28426,cloth,,,1G1RA6E49,DU101824,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RA6E49DU101824,http://www.carfax.com/VehicleHistory/p/Report.cfx?partner=EMS_0&vin=1G1RA6E49DU101824,http://www.walser.com/used/Chevrolet/2013-Chevrolet-Volt-minneapolis-st-paul-d48ff8a90a0a006554ee153b040c0ec1.htm,,
10/1/2014,Dealer,,Owatonna,MI,2,2,,Volt,Black,22.6,28329,cloth,,,1G1RA6E49,DU101824,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RA6E49DU101824,http://www.carfax.com/VehicleHistory/p/Report.cfx?partner=EMS_0&vin=1G1RA6E49DU101824,http://www.walser.com/used/Chevrolet/2013-Chevrolet-Volt-minneapolis-st-paul-d48ff8a90a0a006554ee153b040c0ec1.htm,,
,,,Sparta WI,MI,1,2,,Volt,Black,18.5,16100,heated,,90,1G1RA6E4X,DU145444,http://chevroletforum.com/forum/vindecoder.php?vin=1G1RA6E4XDU145444,http://www.brenengen.com/autocheck/v:2455186/,,,
,,,,,,,,Volt,Gray,16.5,23573,,,,1G1RE6E43CU127712,,,,,,
12/7/2014,Dealer,,Owatonna,MI,2,6,,Volt,Red,17,30439,heated,,,1G1RB6E47DU100460,,,http://www.carfax.com/VehicleHistory/p/Report.cfx?vin=1G1RB6E47DU100460&partner=COO_0,http://www.cars.com/vehicledetail/detail/611345828/overview/,,
