economy_mpg,cylinders,displacement_cc,power_hp,weight_lb,zeroTo60mph_s,year,name
13,8,360,175,3821,11,73,AMC Ambassador Brougham
15,8,390,190,3850,8.5,70,AMC Ambassador DPL
17,8,304,150,3672,11.5,72,AMC Ambassador SST
20.2,6,232,90,3265,18.2,79,AMC Concord DL 6
18.1,6,258,120,3410,15.1,78,AMC Concord DL
23,4,151,,3035,20.5,82,AMC Concord DL
19.4,6,232,90,3210,17.2,78,AMC Concord
24.3,4,151,90,3003,20.1,80,AMC Concord
18,6,232,100,2789,15,73,AMC Gremlin
19,6,232,100,2634,13,71,AMC Gremlin
20,6,232,100,2914,16,75,AMC Gremlin
21,6,199,90,2648,15,70,AMC Gremlin
18,6,258,110,2962,13.5,71,AMC Hornet Sportabout (Wagon)
18,6,199,97,2774,15.5,70,AMC Hornet
18,6,232,100,2945,16,73,AMC Hornet
19,6,232,100,2901,16,74,AMC Hornet
22.5,6,232,90,3085,17.6,76,AMC Hornet
14,8,304,150,4257,15.5,74,AMC Matador (Wagon)
15,8,304,150,3892,12.5,72,AMC Matador (Wagon)
14,8,304,150,3672,11.5,73,AMC Matador
15,6,258,110,3730,19,75,AMC Matador
15.5,8,304,120,3962,13.9,76,AMC Matador
16,6,258,110,3632,18,74,AMC Matador
18,6,232,100,3288,15.5,71,AMC Matador
17.5,6,258,95,3193,17.8,76,AMC Pacer D/L
19,6,232,90,3211,17,75,AMC Pacer
,8,360,175,3850,11,70,AMC Rebel SST (Wagon)
16,8,304,150,3433,12,70,AMC Rebel SST
27.4,4,121,80,2670,15,79,AMC Spirit DL
20,4,114,91,2582,14,73,Audi 100 LS
23,4,115,95,2694,15,75,Audi 100 LS
24,4,107,90,2430,14.5,70,Audi 100 LS
34.3,4,97,78,2188,15.8,80,Audi 4000
20.3,5,131,103,2830,15.9,78,Audi 5000
36.4,5,121,67,2950,19.9,80,Audi 5000S (Diesel)
29,4,98,83,2219,16.5,74,Audi Fox
26,4,121,113,2234,12.5,70,BMW 2002
21.5,4,121,110,2600,12.8,77,BMW 320i
13,8,350,175,4100,13,73,Buick Century 350
25,6,181,110,2945,16.4,82,Buick Century Limited
13,8,350,150,4699,14.5,74,Buick Century Luxus (Wagon)
20.6,6,231,105,3380,15.8,78,Buick Century Special
17,6,231,110,3907,21,75,Buick Century
22.4,6,231,110,3415,15.8,81,Buick Century
12,8,455,225,4951,11,73,Buick Electra 225 Custom
14,8,455,225,3086,10,70,Buick Estate Wagon (Wagon)
16.9,8,350,155,4360,14.9,79,Buick Estate Wagon (Wagon)
13,8,350,155,4502,13.5,72,Buick Lesabre Custom
30,4,111,80,2155,14.8,77,Buick Opel Isuzu Deluxe
17.7,6,231,165,3445,13.4,78,Buick Regal Sport Coupe (Turbo)
21,6,231,110,3039,15,75,Buick Skyhawk
15,8,350,165,3693,11.5,70,Buick Skylark 320
28.4,4,151,90,2670,16,79,Buick Skylark Limited
20.5,6,231,105,3425,16.9,77,Buick Skylark
26.6,4,151,84,2635,16.4,81,Buick Skylark
