Make,Model Yr,Model,Trim,Price Per Mo,Initial Payment,Months,Miles Per Mo,Lease Cost,Total Miles,Cost Per Mile,Each Addnl Mile,Additional Terms
Buick,2014,Encore,1SB,$199.00 ,"$3,769.00 ",39,833,"$11,530.00 ","32,500",$0.35 ,$0.25 ,For non-GM owners or lessees.
Buick,2014,Encore,1SB,$199.00 ,"$4,269.00 ",39,833,"$12,030.00 ","32,500",$0.37 ,$0.25 ,For GM owners or lessees.
Buick,2014,Verano,1SB,$199.00 ,"$2,949.00 ",39,833,"$10,710.00 ","32,500",$0.33 ,$0.25 ,For GM owners or lessees.
Buick,2014,Verano,1SD,$199.00 ,"$2,449.00 ",39,833,"$10,210.00 ","32,500",$0.31 ,$0.25 ,For non-GM owners or lessees.
Chevrolet,2014,Equinox,LS,$199.00 ,"$3,219.00 ",36,"1,000","$10,383.00 ","36,000",$0.29 ,$0.25 ,Residency restrictions apply.
Chevrolet,2014,Malibu,LT,$189.00 ,"$2,569.00 ",36,"1,000","$9,373.00 ","36,000",$0.26 ,$0.25 ,Residency restrictions apply.
Chevrolet,2014,Sonic,LT,$189.00 ,"$2,169.00 ",36,"1,000","$8,973.00 ","36,000",$0.25 ,$0.25 ,Western region offer.
Chevrolet,2014,Spark,EV LT,$199.00 ,$949.00 ,36,"1,000","$8,113.00 ","36,000",$0.23 ,$0.25 ,California and Oregon Only
Chrysler,2015,200,Limited,$199.00 ,"$2,469.00 ",36,"1,000","$9,633.00 ","36,000",$0.27 ,$0.25 ,Residency restrictions apply. Plus $395  disposition fee.
Fiat,2014,500e,,$199.00 ,$999.00 ,36,"1,000","$8,163.00 ","36,000",$0.23 ,$0.25 ,California only. Plus $395  disposition fee.
Fiat,2014,500L,Pop,$199.00 ,"$2,699.00 ",36,"1,000","$9,863.00 ","36,000",$0.27 ,$0.25 
Ford,2014,Escape,SE FWD,$199.00 ,"$2,769.00 ",24,875,"$7,545.00 ","21,000",$0.36 ,$0.15 
Ford,2014,Flex,SEL FWD Titanium,$189.00 ,"$3,829.00 ",24,875,"$8,365.00 ","21,000",$0.40 ,$0.20 
Ford,2014,Fusion,SE FWD I4,$189.00 ,"$2,729.00 ",24,875,"$7,265.00 ","21,000",$0.35 ,$0.15 
Honda,2014,Accord,Cpe CVT LX-S,$209.00 ,"$2,999.00 ",36,"1,000","$10,523.00 ","36,000",$0.29 ,$0.15 ,Available in 29 states plus Northern California and DC.
Honda,2014,Accord,Cpe CVT LX-S,$209.00 ,"$2,499.00 ",36,"1,000","$10,023.00 ","36,000",$0.28 ,$0.15 ,Available in 23 states plus Southern California.
Honda,2014,Accord,Sed CVT LX,$199.00 ,"$1,999.00 ",36,"1,000","$9,163.00 ","36,000",$0.25 ,$0.15 ,Available in 23 states plus Southern California.
Honda,2014,Accord,Sed CVT LX,$199.00 ,"$2,499.00 ",36,"1,000","$9,663.00 ","36,000",$0.27 ,$0.20 ,Available in 29 states plus Northern California and DC.
Honda,2014,CR-V,2WD LX,$209.00 ,"$2,499.00 ",36,"1,000","$10,023.00 ","36,000",$0.28 ,$0.15 ,Available in 29 states plus Northern California and DC.
Honda,2014,CR-V,2WD LX,$209.00 ,"$1,999.00 ",36,"1,000","$9,523.00 ","36,000",$0.26 ,$0.15 ,Available in 23 states plus Southern California.
Hyundai,2014,Elantra,Coupe,$189.00 ,"$2,599.00 ",36,"1,000","$9,403.00 ","36,000",$0.26 ,$0.20 ,Disposition fees vary by state.
Hyundai,2014,Elantra,GT,$189.00 ,"$2,799.00 ",36,"1,000","$9,603.00 ","36,000",$0.27 ,$0.20 ,Disposition fees vary by state.
Hyundai,2014,Sonata,GLS,$199.00 ,"$2,199.00 ",36,"1,000","$9,363.00 ","36,000",$0.26 ,$0.20 ,Disposition fees vary by state.
Hyundai,2015,Sonata,GLS,$209.00 ,"$2,499.00 ",36,"1,000","$10,023.00 ","36,000",$0.28 ,$0.20 ,Disposition fees vary by state.
Jeep,2014,Cherokee,Sport FWD,$199.00 ,"$3,999.00 ",36,833,"$11,163.00 ","30,000",$0.37 ,$0.25 ,Offer varies by region.
