Make,Model Yr,Model Trim,Price per Mo,Initial Payment,Months,Miles perMo,Lease Cost,Total Miles,Cost per Mile,Each Additional Mile,Additional Terms
Buick,2015,"Encore 1SB",175.00,175.00,24,833,4375.00,20000,0.22,0.25,"Regional offer. For current competitive lessees."
Chevrolet,2016,"Equinox FWD LT",189.00,2599.00,24,833,7135.00,20000,0.36,0.25,"Regional offer."
Chevrolet,2016,"Equinox FWD LT",189.00,1099.00,24,833,5635.00,20000,0.28,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Equinox FWD LT",189.00,889.00,24,833,5425.00,20000,0.27,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Equinox FWD LT",189.00,2389.00,24,833,6925.00,20000,0.35,0.25,"Regional offer."
Chevrolet,2016,"Impala LT Preferred",219.00,3699.00,39,833,12240.00,32500,0.38,0.25,"Regional offer."
Chevrolet,2016,"Impala LT Preferred",219.00,2199.00,39,833,10740.00,32500,0.33,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Malibu 1LT",179.00,1500.00,24,833,5796.00,20000,0.29,0.25,"Regional offer."
Chevrolet,2016,"Malibu 1LT",179.00,0,24,833,4296.00,20000,0.21,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Malibu Limited Preferred",179.00,499.00,24,833,4795.00,20000,0.24,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Malibu Limited Preferred",179.00,1999.00,24,833,6295.00,20000,0.31,0.25,"Regional offer."
Chevrolet,2016,"Traverse 1LT",219.00,3739.00,24,833,8995.00,20000,0.45,0.25,"Regional offer."
Chevrolet,2016,"Traverse 1LT",219.00,2239.00,24,833,7495.00,20000,0.37,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Traverse 1LT",249.00,1799.00,24,833,7775.00,20000,0.39,0.25,"Regional offer for current non-GM lessees."
Chevrolet,2016,"Traverse 1LT",249.00,3299.00,24,833,9275.00,20000,0.46,0.25,"Regional offer."
Chevrolet,2015,"Trax LT",186.00,686.00,39,833,7940.00,32500,0.24,0.25,"Regional offer."
Chevrolet,2015,"Trax LT",186.00,186.00,39,833,7440.00,32500,0.23,0.25,"Regional offer for current non-GM lessees."
Chrysler,2016,"200 S",189.00,2999.00,42,833,10937.00,35000,0.31,0.25,"Regional offer."
Chrysler,2016,"200 S",229.00,2999.00,42,833,12617.00,35000,0.36,0.25,"Regional offer."
Fiat,2015,"500e",169.00,1999.00,36,1000,8083.00,36000,0.22,0.25,"California and Oregon only. 395 disposition fee."
Ford,2016,"Escape SE FWD",229.00,2609.00,36,875,10853.00,31500,0.34,0.15,"Regional offer."
Ford,2015,"Focus Electric",199.00,2079.00,36,875,9243.00,31500,0.29,0.20,"Regional offer."
Ford,2016,"Fusion SE FWD w/Sync",139.00,2983.00,36,875,7987.00,31500,0.25,0.15,"Regional offer."
Ford,2016,"Fusion SE FWD w/Sync",139.00,1983.00,36,875,6987.00,31500,0.22,0.15,"Regional offer. For current competitive and Fusion lessees."
Ford,2016,"Fusion SE w/Tech",169.00,2429.00,24,875,6485.00,21000,0.31,0.15,"Regional offer."
Honda,2015,"Accord Coupe LX-S CVT",209.00,2099.00,39,1000,10250.00,39000,0.26,0.15,
Honda,2015,"Accord Sed CVT LX",189.00,1999.00,39,1000,9370.00,39000,0.24,0.15,
Honda,2015,"CR-V 2WD LX",209.00,1999.00,39,1000,10150.00,39000,0.26,0.15,
Hyundai,2015,"Sonata SE",179.00,1499.00,36,1000,7943.00,36000,0.22,0.20,"Disposition fees vary by state. 400 in most areas."
Hyundai,2016,"Sonata SE",199.00,2399.00,36,1000,9563.00,36000,0.27,0.20,"Disposition fees vary by state. 400 in most areas."
Jeep,2016,"Cherokee Latitude 4x4",199.00,3199.00,39,833,10960.00,32500,0.34,0.25,"Residency restrictions apply."
Jeep,2016,"Cherokee Latitude FWD",239.00,2999.00,39,833,12320.00,32500,0.38,0.25,"Regional offer. 395 disposition fee."
Jeep,2016,"Compass Sport FWD",209.00,2999.00,39,1000,11150.00,39000,0.29,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2016,"Compass Sport FWD",199.00,2999.00,39,833,10760.00,32500,0.33,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2016,"Compass Latitude 4x4",179.00,3199.00,39,833,10180.00,32500,0.31,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2016,"Patriot Latitude 4x4",169.00,3199.00,39,833,9790.00,32500,0.30,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2016,"Patriot Sport FWD",199.00,2999.00,39,1000,10760.00,39000,0.28,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2015,"Renegade Sport FWD",243.00,243.00,39,833,9720.00,32500,0.30,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2015,"Renegade Sport 4x4",149.00,2999.00,27,833,7022.00,22500,0.31,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2015,"Renegade Sport FWD",189.00,3199.00,39,1000,10570.00,39000,0.27,0.25,"Residency restrictions apply. 395 disposition fee."
Jeep,2015,"Renegade Sport FWD",189.00,1999.00,39,833,9370.00,32500,0.29,0.25,"Residency restrictions apply. 395 disposition fee."
Kia,2015,"Optima LX",179.00,1999.00,39,1000,8980.00,39000,0.23,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2015,"Optima LX",168.00,1999.00,24,1000,6031.00,24000,0.25,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2015,"Optima LX",178.00,1999.00,24,1000,6271.00,24000,0.26,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2015,"Optima LX",189.00,1999.00,39,1000,9370.00,39000,0.24,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2016,"Optima LX",209.00,1999.00,39,1000,10150.00,39000,0.26,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2016,"Optima LX",222.00,1999.00,24,1000,7327.00,24000,0.31,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2015,"Soul Base",179.00,1999.00,39,1000,8980.00,39000,0.23,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2016,"Soul Base",189.00,1999.00,39,1000,9370.00,39000,0.24,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2016,"Sportage LX 2WD",199.00,2699.00,24,1000,7475.00,24000,0.31,0.20,"Disposition fees vary by state. 400 in most areas."
Kia,2016,"Sportage LX AWD",234.00,1999.00,39,1000,11125.00,39000,0.29,0.20,"Disposition fees vary by state. 400 in most areas."
