Expt,Run,Speed1,Speed
1,1,1.085,1.85
1,2,1.074,1.74
1,3,1.09,1.9
1,4,1.107,2.07
1,5,1.093,1.93
1,6,1.085,1.85
1,7,1.095,1.95
1,8,1.098,1.98
1,9,1.098,1.98
1,10,1.088,1.88
1,11,1.1,2
1,12,1.098,1.98
1,13,1.093,1.93
1,14,1.065,1.65
1,15,1.076,1.76
1,16,1.081,1.81
1,17,1.1,2
1,18,1.1,2
1,19,1.096,1.96
1,20,1.096,1.96
2,1,1.096,1.96
2,2,1.094,1.94
2,3,1.096,1.96
2,4,1.094,1.94
2,5,1.088,1.88
2,6,1.08,1.8
2,7,1.085,1.85
2,8,1.088,1.88
2,9,1.09,1.9
2,10,1.084,1.84
2,11,1.083,1.83
2,12,1.079,1.79
2,13,1.081,1.81
2,14,1.088,1.88
2,15,1.088,1.88
2,16,1.083,1.83
2,17,1.08,1.8
2,18,1.079,1.79
2,19,1.076,1.76
2,20,1.08,1.8
3,1,1.088,1.88
3,2,1.088,1.88
3,3,1.088,1.88
3,4,1.086,1.86
3,5,1.072,1.72
3,6,1.072,1.72
3,7,1.062,1.62
3,8,1.086,1.86
3,9,1.097,1.97
3,10,1.095,1.95
3,11,1.088,1.88
3,12,1.091,1.91
3,13,1.085,1.85
3,14,1.087,1.87
3,15,1.084,1.84
3,16,1.084,1.84
3,17,1.085,1.85
3,18,1.084,1.84
3,19,1.084,1.84
3,20,1.084,1.84
4,1,1.089,1.89
4,2,1.081,1.81
4,3,1.081,1.81
4,4,1.082,1.82
4,5,1.08,1.8
4,6,1.077,1.77
4,7,1.076,1.76
4,8,1.074,1.74
4,9,1.075,1.75
4,10,1.076,1.76
4,11,1.091,1.91
4,12,1.092,1.92
4,13,1.089,1.89
4,14,1.086,1.86
4,15,1.088,1.88
4,16,1.072,1.72
4,17,1.084,1.84
4,18,1.085,1.85
4,19,1.085,1.85
4,20,1.078,1.78
5,1,1.089,1.89
5,2,1.084,1.84
5,3,1.078,1.78
5,4,1.081,1.81
5,5,1.076,1.76
5,6,1.081,1.81
5,7,1.079,1.79
5,8,1.081,1.81
5,9,1.082,1.82
5,10,1.085,1.85
5,11,1.087,1.87
5,12,1.087,1.87
5,13,1.081,1.81
5,14,1.074,1.74
5,15,1.081,1.81
5,16,1.094,1.94
5,17,1.095,1.95
5,18,1.08,1.8
5,19,1.081,1.81
5,20,1.087,1.87
